City,Population,Median Household Income ($USD),"Median Home Price ($USD, January 2021)",Latitude,Longitude
"New York, NY",17836,73823.0,521485,40.7127281,-74.0060152
"Los Angeles-Long Beach-Anaheim, CA",3971883,45533.0,755509,34.0536909,-118.24276600000000
"Chicago, IL",2720546,50270.0,261271,41.875561600000000,-87.6244212
"Dallas-Fort Worth, TX",2205401,,275161,32.744902,-97.330342
"Philadelphia, PA",1567442,39327.0,281425,39.9527237,-75.16352620000000
"Houston, TX",2296224,54056.0,233519,29.7589382,-95.36769740000000
"Washington, DC",601723,73142.0,481196,38.8949924,-77.0365581
"Miami-Fort Lauderdale, FL",5414772,,326199,26.0906032,-80.13627290000000
"Atlanta, GA",463878,58511.0,267696,33.7849591,-84.442163
"Boston, MA",667137,59771.0,543455,42.3602534,-71.0582912
"San Francisco, CA",864816,83966.0,1181198,37.779026200000000,-122.4199061
"Detroit, MI",677116,26177.0,200871,42.331550900000000,-83.04664030000000
"Riverside, CA",322424,55847.0,439809,33.953354600000000,-117.39616230000000
"Phoenix, AZ",1563025,44226.0,343830,33.448436700000000,-112.07414170000000
"Seattle, WA",684451,66187.0,600497,47.6038321,-122.3300624
"Minneapolis-St Paul, MN",410939,51521.0,323869,44.9772995,-93.2654692
"San Diego, CA",1394928,69818.0,700502,32.7174202,-117.16277280000000
"St. Louis, MO",315685,43751.0,198787,38.6529545,-90.24111656024640
"Tampa, FL",369075,43348.0,261372,27.947759500000000,-82.458444
"Baltimore, MD",621849,52809.0,321834,39.2908816,-76.610759
"Denver, CO",682545,51744.0,494108,39.7392364,-104.98486230000000
"Pittsburgh, PA",304391,46751.0,181047,40.4416941,-79.99008610000000
"Portland, OR",632309,58115.0,461941,45.5202471,-122.6741949
"Charlotte, NC",827097,54746.0,269634,35.227208600000000,-80.84308270000000
"Sacramento, CA",490712,48231.0,485552,38.5810606,-121.49389510000000
"San Antonio, TX",1469845,49007.0,225169,29.424600200000000,-98.4951405
"Orlando, FL",270934,46958.0,278137,28.5421109,-81.3790304
"Cincinnati, OH",296943,47573.0,210476,39.1014537,-84.5124602
"Cleveland, OH",388072,27218.0,177726,41.5051613,-81.6934446
"Kansas City, MO",475378,42478.0,229241,39.100105,-94.5781416
"Las Vegas, NV",623747,49592.0,318515,36.1672559,-115.1485163
"Columbus, OH",850106,39778.0,236383,39.9622601,-83.00070650000000
"Indianapolis, IN",829718,,206271,39.7683331,-86.1583502
"San Jose, CA",1026908,83024.0,1322510,37.3361905,-121.890583
