,Mean,Lower_ci,Upper_ci,Date,City
0,274520.8040098087,274029.45594854606,275012.1520710713,2021-02,United States
1,277123.96590674773,276002.69550390396,278245.2363095915,2021-03,United States
2,279652.4747200963,277776.01456158847,281528.9348786041,2021-04,United States
3,282109.192499517,279379.6123119409,284838.7726870931,2021-05,United States
4,284496.87156942254,280834.58192959044,288159.16120925464,2021-06,United States
5,286818.1587356216,282156.98408091435,291479.33339032886,2021-07,United States
6,289075.59933069086,283359.733686389,294791.46497499273,2021-08,United States
7,291271.6411042554,284453.599198309,298089.6830102018,2021-09,United States
8,293408.63796412357,285447.78993433097,301369.48599391617,2021-10,United States
9,295488.85357399425,286350.32895818574,304627.37818980275,2021-11,United States
10,297514.4648132351,287168.3041691771,307860.6254572931,2021-12,United States
11,299487.5651040202,287908.0454074236,311067.0848006168,2022-01,United States
12,301410.16761091136,288575.2541447392,314245.08107708354,2022-02,United States
13,303284.2083177744,289175.1014350061,317393.31520054274,2022-03,United States
14,305111.5489867323,289712.3038326684,320510.79414079624,2022-04,United States
15,306893.9800036782,290191.18354291184,323596.7764644445,2022-05,United States
16,308633.2231146969,290615.7169863606,326650.7292430332,2022-06,United States
17,310330.9340575778,290989.5746556326,329672.293459523,2022-07,United States
18,311988.7050924406,291316.154294692,332661.2558901892,2022-08,United States
19,313608.06743534195,291598.60886729223,335617.52600339166,2022-09,United States
20,315190.4935985826,291839.8703945449,338541.11680262024,2022-10,United States
21,316737.39964129165,292042.67047147604,341432.12881110725,2022-11,United States
22,318250.1473337284,292209.5580796681,344290.7365877887,2022-12,United States
23,319730.04623860837,292342.91517307167,347117.17730414507,2023-01,United States
24,525282.5746217433,523404.46472484764,527160.6845186389,2021-02,"New York, NY"
25,528967.8284321642,525435.1107126729,532500.5461516554,2021-03,"New York, NY"
26,532546.1456685683,527164.9375525482,537927.3537845884,2021-04,"New York, NY"
27,536022.0293728372,528620.8169636527,543423.2417820216,2021-05,"New York, NY"
28,539399.7929661692,529833.8219452959,548965.7639870425,2021-06,"New York, NY"
