Date,United States,PA,VA,MD,WV,DC,DE,AR,NC
2017-02-28,213258.2827,225360.6891,216439.6466,225060.4885,197011.7032,403407.8084,197404.0642,150792.9693,238118.1195
2017-03-31,214854.9875,228343.1441,218150.6445,226586.8172,198430.1007,403825.7689,198862.2774,152620.2,238847.0328
2017-04-30,216601.2872,230545.7812,220978.9879,228155.6814,198891.1099,406025.7291,200341.3966,155253.2867,240128.3865
2017-05-31,217994.0096,231477.4333,222993.5688,229309.6563,200051.0276,405417.2503,202313.4628,157538.9939,242114.5491
2017-06-30,219149.3758,231661.6043,224261.3495,229846.4616,200697.7642,407091.4918,203799.3627,158735.0022,243680.601
2017-07-31,219846.9951,231481.7038,225201.087,229888.9058,200393.9992,407263.7152,204866.7519,158813.4927,245879.936
2017-08-31,220611.8706,231709.9683,224968.6608,230487.8949,199736.5969,407940.8354,205449.5885,159232.742,245119.0829
2017-09-30,221615.3888,231530.698,226840.9437,230576.7351,200292.574,408743.568,207620.6261,159326.2988,247243.0794
2017-10-31,222616.745,232258.2555,228627.1864,231699.4975,200367.744,410119.4861,208533.3187,159418.9459,249082.6342
2017-11-30,223682.5062,232489.0015,230160.3866,232284.636,200843.3538,411689.6998,210262.3206,160373.2306,249322.0746
2017-12-31,224949.4669,233951.6952,231757.9836,232991.7578,201709.4295,411457.2451,212604.0686,160596.3045,249974.6966
2018-01-31,226024.3608,235749.613,233297.2169,233635.592,202012.9408,412595.3953,214024.6447,163179.7404,253789.98
2018-02-28,227667.9211,236547.4892,235882.5925,235424.8108,202607.4431,414675.1171,216018.9641,164897.7848,256007.2942
2018-03-31,229440.7576,237961.7139,238119.8947,238125.9629,204283.554,417269.1517,217796.2767,166740.0655,256850.5453
2018-04-30,231088.4937,240415.5556,240005.6005,239742.7889,206293.1755,420386.1631,219683.1095,169688.086,259857.3792
2018-05-31,232605.9757,241476.4918,241422.7812,240601.0291,207347.1675,422351.5697,221365.7011,171551.9192,261475.4266
2018-06-30,233637.8712,242209.8953,242906.4875,241204.1261,207733.3009,422895.2987,222940.283,172770.0872,261890.7488
2018-07-31,234242.9557,242015.3041,243119.1565,241607.0628,208386.3751,422719.4978,224261.4082,173201.7842,263998.3988
2018-08-31,234855.4073,241624.4995,242839.3609,241527.104,208898.2374,422234.3355,225315.9043,172913.7475,265199.8596
2018-09-30,235411.7672,241622.5427,243216.0556,241992.7067,209269.4449,422038.6796,226826.902,173303.9811,265944.888
2018-10-31,235940.8445,241082.855,244079.7931,242105.0331,209656.2349,422685.7908,228387.3375,173194.0964,266527.8697
