,geometry,STATEFP,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_YEAR,SCHOOLYEAR
0,"POLYGON ((-77.002436 38.965673, -77.119759 38.934343, -77.04802 38.841261, -77.039006 38.791645, -76.909393 38.892852, -77.002436 38.965673))",11,00030,1100030,District of Columbia Public Schools,00,PK,12,G5420,,E,158316124,18709762,+38.9042474,-077.0165167,2021,2020-2021
1,"POLYGON ((-82.658554 29.830144, -82.656301 29.564811, -82.556766 29.480055, -82.40662 29.485048, -82.055899 29.471232, -82.055625 29.718232, -82.133126 29.835949, -82.281837 29.844448, -82.418728 29.923093, -82.529705 29.940881, -82.658554 29.830144))",12,00030,1200030,Alachua County School District,00,PK,12,G5420,,E,2267905452,241297386,+29.6757403,-082.3572210,2021,2020-2021
2,"POLYGON ((-82.418914 30.581767, -82.459793 30.584267, -82.458364 30.136449, -82.142578 30.143117, -82.049425 30.143136, -82.049411 30.186933, -82.049236 30.273432, -82.049958 30.362472, -82.170197 30.358972, -82.214677 30.568556, -82.418914 30.581767))",12,00060,1200060,Baker County School District,00,PK,12,G5420,,E,1515738971,9686120,+30.3244416,-082.3022838,2021,2020-2021
3,"POLYGON ((-86.00077 30.1036, -85.58962 29.83756, -85.53199 29.62823, -85.37285 29.50701, -85.440336 29.788113, -85.388669 29.924359, -85.389679 30.200973, -85.383948 30.566856, -85.434782 30.56756, -85.487968 30.436655, -85.8535 30.440623, -85.992736 30.38932, -86.00077 30.1036))",12,00090,1200090,Bay County School District,00,PK,12,G5420,,E,1964874033,1833915193,+30.1373956,-085.6286886,2021,2020-2021
4,"POLYGON ((-82.142578 30.143117, -82.313385 29.954704, -82.418728 29.923093, -82.281837 29.844448, -82.133126 29.835949, -82.055625 29.718232, -82.049244 29.71867, -82.049425 30.143136, -82.142578 30.143117))",12,00120,1200120,Bradford County School District,00,PK,12,G5420,,E,761368537,16898784,+29.9523863,-082.1666983,2021,2020-2021
5,"POLYGON ((-80.98725 28.612997, -80.885741 28.510312, -80.862908 28.347487, -80.868881 27.822522, -80.509075 27.822058, -80.385069 27.861362, -80.499773 28.07726, -80.543999 28.271092, -80.46939 28.453097, -80.522973 28.608238, -80.663461 28.790588, -80.967895 28.790197, -80.98725 28.612997))",12,00150,1200150,Brevard County School District,00,PK,12,G5420,,E,2628764720,1403938853,+28.2983112,-080.7003334,2021,2020-2021
6,"POLYGON ((-80.015276 26.320956, -80.881285 26.333806, -80.87971 26.259308, -80.872932 25.979434, -80.680016 25.956857, -80.062893 25.976809, -80.015276 26.320956))",12,00180,1200180,Broward County School District,00,PK,12,G5420,,E,3115343227,273469971,+26.1935353,-080.4766834,2021,2020-2021
7,"POLYGON ((-85.383948 30.566856, -85.389679 30.200973, -85.11566 30.199976, -84.932519 30.606393, -85.164744 30.608079, -85.383948 30.566856))",12,00210,1200210,Calhoun County School District,00,PK,12,G5420,,E,1469394597,18070425,+30.3888013,-085.1979155,2021,2020-2021
8,"POLYGON ((-82.565858 26.947314, -82.462012 26.787429, -82.198626 26.770892, -81.565748 26.769601, -81.562531 27.033687, -81.562624 27.033835, -82.057506 27.032119, -82.255169 27.03302, -82.255521 26.945264, -82.565858 26.947314))",12,00240,1200240,Charlotte County School District,00,PK,12,G5420,,E,1764089884,689239393,+26.9063964,-082.0036572,2021,2020-2021
9,"POLYGON ((-83.187906 28.986573, -82.94557 28.96375, -82.889544 28.693213, -82.418353 28.694859, -82.263052 28.667634, -82.171402 28.789848, -82.311697 28.960391, -82.535591 29.044855, -82.761568 28.992091, -83.187906 28.986573))",12,00270,1200270,Citrus County School District,00,PK,12,G5420,,E,1507163436,981145546,+28.8502922,-082.5955524,2021,2020-2021
10,"POLYGON ((-82.049411 30.186933, -82.049425 30.143136, -82.049244 29.71867, -81.81243 29.83649, -81.581207 29.840176, -81.680215 30.12124, -81.679626 30.190495, -82.049411 30.186933))",12,00300,1200300,Clay County School District,00,PK,12,G5420,,E,1565900895,100869769,+29.9865835,-081.8650364,2021,2020-2021
11,"POLYGON ((-82.244953 26.329831, -82.00546 26.28443, -81.96802 26.06959, -81.848206 25.800785, -80.873096 25.805377, -80.872932 25.979434, -80.87971 26.259308, -81.268236 26.253069, -81.271768 26.517069, -81.563763 26.513331, -81.659506 26.421077, -81.6579 26.317563, -82.244953 26.329831))",12,00330,1200330,Collier County School District,00,PK,12,G5420,,E,5171818340,1575203628,+26.1187860,-081.4009553,2021,2020-2021
12,"POLYGON ((-82.794594 30.337024, -82.800477 29.932126, -82.658554 29.830144, -82.529705 29.940881, -82.458364 30.136449, -82.459793 30.584267, -82.584007 30.591548, -82.689539 30.597734, -82.645555 30.406417, -82.794594 30.337024))",12,00360,1200360,Columbia County School District,00,PK,12,G5420,,E,2065197126,10207158,+30.2216509,-082.6233712,2021,2020-2021
