,index,school_district,avg_rating,total_enrollment,num_schools,avg_pct_low_income,state,first_word,school_district_id,GEOID
0,42,District of Columbia Public Schools,5.7,48218,104,81.2,DC,,,1100030
1,71,Alachua,5.0,29834,60,52.2,FL,Alachua,Alachua County School District,1200030
2,312,Baker,5.2,5060,7,33.6,FL,Baker,Baker County School District,1200060
3,97,Bay,4.9,23100,38,58.4,FL,Bay,Bay County School District,1200090
4,26,Brevard,5.8,73331,100,49.7,FL,Brevard,Brevard County School District,1200150
5,1,Broward,5.7,271240,295,64.9,FL,Broward,Broward County School District,1200180
6,130,Citrus,5.1,15355,22,64.8,FL,Citrus,Citrus County School District,1200270
7,43,Collier,5.7,47416,62,65.5,FL,Collier,Collier County School District,1200330
8,503,Dixie,5.5,2228,7,51.1,FL,Dixie,Dixie County School District,1200450
9,12,Duval,4.8,129317,181,55.1,FL,Duval,Duval County School District,1200480
10,56,Escambia,4.4,40390,65,56.7,FL,Escambia,Escambia County School District,1200510
11,152,Flagler,5.4,12980,14,45.5,FL,Flagler,Flagler County School District,1200540
12,276,Gadsden,4.2,6023,18,69.1,FL,Gadsden,Gadsden County School District,1200600
13,455,Gilchrist,7.2,2752,7,39.2,FL,Gilchrist,Gilchrist County School District,1200630
14,550,Glades,4.4,1751,9,25.1,FL,Glades,Glades County School District,1200660
15,537,Gulf,3.2,1942,5,47.8,FL,Gulf,Gulf County School District,1200690
16,572,Hamilton,2.0,1610,6,43.0,FL,Hamilton,Hamilton County School District,1200720
17,311,Hardee,5.1,5080,11,66.6,FL,Hardee,Hardee County School District,1200750
18,250,Hendry,4.1,7266,17,59.9,FL,Hendry,Hendry County School District,1200780
19,99,Hernando,4.8,22914,29,50.9,FL,Hernando,Hernando County School District,1200810
20,2,Hillsborough,4.6,219178,258,64.1,FL,Hillsborough,Hillsborough County School District,1200870
21,383,Holmes,4.0,3816,11,43.8,FL,Holmes,Holmes County School District,1200900
22,116,Indian River,5.3,17784,28,59.0,FL,Indian River,Indian River County School District,1200930
23,625,Lafayette,7.0,1228,4,38.8,FL,Lafayette,Lafayette County School District,1201020
24,62,Leon,5.2,33623,48,42.8,FL,Leon,Leon County School District,1201110
25,280,Levy,4.1,5959,16,56.3,FL,Levy,Levy County School District,1201140
26,40,Manatee,5.1,49567,69,55.2,FL,Manatee,Manatee County School District,1201230
27,112,Martin,6.0,18544,30,40.9,FL,Martin,Martin County School District,1201290
28,166,Nassau,6.9,12118,20,42.8,FL,Nassau,Nassau County School District,1201350
29,67,Okaloosa,6.9,31587,46,47.7,FL,Okaloosa,Okaloosa County School District,1201380
30,268,Okeechobee,4.1,6347,13,47.3,FL,Okeechobee,Okeechobee County School District,1201410
31,29,Osceola,4.5,68519,75,45.8,FL,Osceola,Osceola County School District,1201470
32,4,Palm Beach,5.8,193299,201,62.6,FL,Palm,Palm Beach County School District,1201500
33,25,Pasco,5.4,75062,97,58.4,FL,Pasco,Pasco County School District,1201530
34,16,Pinellas,5.2,100036,140,52.7,FL,Pinellas,Pinellas County School District,1201560
35,75,Santa Rosa,6.5,28422,35,45.7,FL,Santa,Santa Rosa County School District,1201650
36,55,Sarasota,6.6,40793,53,48.5,FL,Sarasota,Sarasota County School District,1201680
37,51,St. Johns,7.9,41587,45,19.6,FL,St. Johns,St. Johns County School District,1201740
38,53,St. Lucie,4.6,41338,47,57.1,FL,St. Lucie,St. Lucie County School District,1201770
39,281,Suwannee,4.7,5956,11,44.1,FL,Suwannee,Suwannee County School District,1201830
40,31,Volusia,4.6,63040,81,63.4,FL,Volusia,Volusia County School District,1201920
41,314,Wakulla,5.6,5057,12,48.5,FL,Wakulla,Wakulla County School District,1201950
42,157,Troup County,4.4,12652,19,72.0,GA,Troup,Troup County School District,1300001
43,399,Appling County,5.4,3585,6,90.0,GA,Appling,Appling County School District,1300060
44,557,Atkinson County,5.8,1693,4,84.8,GA,Atkinson,Atkinson County School District,1300090
45,514,Bacon County,5.7,2141,4,74.5,GA,Bacon,Bacon County School District,1300150
46,313,Baker,5.2,5060,7,33.6,FL,Baker,Baker County School District,1300180
47,224,Baldwin County,3.8,8241,10,88.6,GA,Baldwin,Baldwin County School District,1300210
